titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
vantagem tricolor;Sampaio Basquete;8;491;6;https://lbf.com.br/noticias/vantagem-tricolor/
espirito de resiliencia;Sampaio Basquete;11;752;4;https://lbf.com.br/noticias/espirito-de-resiliencia/
e hora dos playoffs lbf;SESI Araraquara Basquete;20;797;6;https://lbf.com.br/noticias/e-hora-dos-playoffs-lbf/
juntas para mais uma temporada;Pontz São José Basketball;4;428;7;https://lbf.com.br/noticias/juntas-para-mais-uma-temporada/
kto blumenau na final;Sampaio Basquete;20;656;3;https://lbf.com.br/noticias/kto-blumenau-na-final/
hoje tem 19h30 bax catanduva x ituano basquete;Sport/Uninassau/Inst. Todos;3;377;3;https://lbf.com.br/noticias/hoje-tem-19h30-bax-catanduva-x-ituano-basquete/
segue o lider 3;Pontz São José Basketball;13;320;4;https://lbf.com.br/noticias/segue-o-lider-3/
parceria wilson e lbf segue para 2021;Sport/Uninassau/Inst. Todos;5;414;2;https://lbf.com.br/noticias/parceria-wilson-e-lbf-segue-para-2021/
mais perto do tri;Sampaio Basquete;18;722;3;https://lbf.com.br/noticias/mais-perto-do-tri/
hora dos playoffs 2;Sodiê Mesquita;26;993;6;https://lbf.com.br/noticias/hora-dos-playoffs-2/
em aberto;SESI Araraquara Basquete;25;977;3;https://lbf.com.br/noticias/em-aberto/
ituano se reabilita;Unimed Campinas Basquete;8;711;3;https://lbf.com.br/noticias/ituano-se-reabilita/
santo andre apaba realiza seletiva neste final de semana;Santo André;8;160;1;https://lbf.com.br/noticias/santo-andre-apaba-realiza-seletiva-neste-final-de-semana/
ultimos dias inscricoes para a lbf 2022;Sport/Uninassau/Inst. Todos;5;455;1;https://lbf.com.br/noticias/ultimos-dias-inscricoes-para-a-lbf-2022/
triunfo gigante;Sampaio Basquete;187;1069;5;https://lbf.com.br/noticias/triunfo-gigante/
lbf realiza nesta terca draft do jogo das estrelas;Sport/Uninassau/Inst. Todos;3;415;1;https://lbf.com.br/noticias/lbf-realiza-nesta-terca-draft-do-jogo-das-estrelas/
mariana camargo participa de camp da nba brasil;Sport/Uninassau/Inst. Todos;2;404;1;https://lbf.com.br/noticias/mariana-camargo-participa-de-camp-da-nba-brasil/
vitoria fora de casa;Pontz São José Basketball;14;404;5;https://lbf.com.br/noticias/vitoria-fora-de-casa/
feliz dia das maes campineiras;Unimed Campinas Basquete;41;659;3;https://lbf.com.br/noticias/feliz-dia-das-maes-campineiras/
lbf nas escolas nova temporada;Santo André;6;481;4;https://lbf.com.br/noticias/lbf-nas-escolas-nova-temporada/
bolivia semifinalista;Sampaio Basquete;239;1748;6;https://lbf.com.br/noticias/bolivia-semifinalista/
carimbando a faixa;SESI Araraquara Basquete;13;677;4;https://lbf.com.br/noticias/carimbando-a-faixa/
vitoria com autoridade;ADRM Maringá;1;480;2;https://lbf.com.br/noticias/vitoria-com-autoridade/
dominaram;Cerrado BRB;11;369;3;https://lbf.com.br/noticias/dominaram/
sesi amassa;SESI Araraquara Basquete;11;397;4;https://lbf.com.br/noticias/sesi-amassa/
lbf prestigia final four do brasileirao feminino da cbb;Pontz São José Basketball;8;305;4;https://lbf.com.br/noticias/lbf-prestigia-final-four-do-brasileirao-feminino-da-cbb/
tudo verde na capital;Cerrado BRB;6;532;4;https://lbf.com.br/noticias/tudo-verde-na-capital/
melhores da temporada monique rebotes;Sodiê Mesquita;3;328;4;https://lbf.com.br/noticias/melhores-da-temporada-monique-rebotes/
maisa marcal a nova craque da galera lbf caixa;Sampaio Basquete;8;473;4;https://lbf.com.br/noticias/maisa-marcal-a-nova-craque-da-galera-lbf-caixa/
timao tambem vence antes da copa;Pontz São José Basketball;16;434;4;https://lbf.com.br/noticias/timao-tambem-vence-antes-da-copa/
credenciamento de imprensa jogo 3 finais lbf caixa;SESI Araraquara Basquete;6;361;3;https://lbf.com.br/noticias/credenciamento-de-imprensa-jogo-3-finais-lbf-caixa/
operacional preparado;Sport/Uninassau/Inst. Todos;1;458;1;https://lbf.com.br/noticias/operacional-preparado/
hoje tem 18h ad santo andre x sesi araraquara;Santo André;18;605;6;https://lbf.com.br/noticias/hoje-tem-18h-ad-santo-andre-x-sesi-araraquara/
corinthians domina o bax em catanduva;Sport/Uninassau/Inst. Todos;3;580;1;https://lbf.com.br/noticias/corinthians-domina-o-bax-em-catanduva/
lider em assistencias da lbf 2022 natalia recebe premiacao;Sport/Uninassau/Inst. Todos;4;392;4;https://lbf.com.br/noticias/lider-em-assistencias-da-lbf-2022-natalia-recebe-premiacao/
atuacao historica;Sodiê Mesquita;21;616;5;https://lbf.com.br/noticias/atuacao-historica/
nota de pesar grego;Nenhum time identificado;0;168;0;https://lbf.com.br/noticias/nota-de-pesar-grego/
sesi araraquara volta aos treinamentos;SESI Araraquara Basquete;4;154;1;https://lbf.com.br/noticias/sesi-araraquara-volta-aos-treinamentos/
ad santo andre e unimed campinas decidem titulo em sp;Unimed Campinas Basquete;10;416;3;https://lbf.com.br/noticias/ad-santo-andre-e-unimed-campinas-decidem-titulo-em-sp/
no duelo dos unis deu unimed;Unimed Campinas Basquete;9;411;3;https://lbf.com.br/noticias/no-duelo-dos-unis-deu-unimed/
ituano vence antes da copa lbf;SESI Araraquara Basquete;6;970;4;https://lbf.com.br/noticias/ituano-vence-antes-da-copa-lbf/
e hora de decisao;Pontz São José Basketball;16;482;2;https://lbf.com.br/noticias/e-hora-de-decisao/
lbf caixa nas escolas ituano basquete;Sodiê Mesquita;1;356;1;https://lbf.com.br/noticias/lbf-caixa-nas-escolas-ituano-basquete/
confraternizacao e premios;SESI Araraquara Basquete;12;768;9;https://lbf.com.br/noticias/confraternizacao-e-premios/
pra fechar bem o turno;Sodiê Mesquita;22;611;5;https://lbf.com.br/noticias/pra-fechar-bem-o-turno/
tubarao 100;Santo André;32;812;6;https://lbf.com.br/noticias/tubarao-100/
lbf divulga resultados dos testes de covid 19 de marco;Unimed Campinas Basquete;4;676;2;https://lbf.com.br/noticias/lbf-divulga-resultados-dos-testes-de-covid-19-de-marco/
de virada;Pontz São José Basketball;13;383;3;https://lbf.com.br/noticias/de-virada/
pontape inicial;Santo André;8;482;3;https://lbf.com.br/noticias/pontape-inicial/
campeas da america do sul;Sampaio Basquete;2;352;2;https://lbf.com.br/noticias/campeas-da-america-do-sul/
bem vinda de volta caixa;Sport/Uninassau/Inst. Todos;7;889;6;https://lbf.com.br/noticias/bem-vinda-de-volta-caixa/
novidades e um retorno especial no ad santo andre;Santo André;6;384;2;https://lbf.com.br/noticias/novidades-e-um-retorno-especial-no-ad-santo-andre/
galo vence a setima seguida;Sport/Uninassau/Inst. Todos;2;556;1;https://lbf.com.br/noticias/galo-vence-a-setima-seguida/
