titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
retorno saboroso cat;Sport/Uninassau/Inst. Todos;10;780;2;https://lbf.com.br/noticias/retorno-saboroso-cat/
brasil e prata na americup 3x3;Nenhum time identificado;0;200;0;https://lbf.com.br/noticias/brasil-e-prata-na-americup-3x3/
tecnica do maranhao basquete quer time guerreiro nesta edicao da liga de basquete feminino lbf;Sport/Uninassau/Inst. Todos;1;593;1;https://lbf.com.br/noticias/tecnica-do-maranhao-basquete-quer-time-guerreiro-nesta-edicao-da-liga-de-basquete-feminino-lbf/
contando com dupla de pivos brasileiras chicago e superado pelo phoenix jogando fora de casa na wnba;Sport/Uninassau/Inst. Todos;1;372;1;https://lbf.com.br/noticias/contando-com-dupla-de-pivos-brasileiras-chicago-e-superado-pelo-phoenix-jogando-fora-de-casa-na-wnba/
bradesco derrota o xv mesmo atuando fora de casa pelo paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;303;1;https://lbf.com.br/noticias/bradesco-derrota-o-xv-mesmo-atuando-fora-de-casa-pelo-paulista-feminino-da-serie-a-2/
sport recife estreia na lbf 201415 no derby da capital pernambucana diante do estreante uninassauamerica;Sport/Uninassau/Inst. Todos;13;435;2;https://lbf.com.br/noticias/sport-recife-estreia-na-lbf-201415-no-derby-da-capital-pernambucana-diante-do-estreante-uninassauamerica/
a um passo do paraiso;SESI Araraquara Basquete;17;520;4;https://lbf.com.br/noticias/a-um-passo-do-paraiso/
selecao brasileira sub 16 feminina conta com experiencia internacional;Sport/Uninassau/Inst. Todos;1;788;1;https://lbf.com.br/noticias/selecao-brasileira-sub-16-feminina-conta-com-experiencia-internacional/
jogo 5 em fotos;Sport/Uninassau/Inst. Todos;5;117;1;https://lbf.com.br/noticias/jogo-5-em-fotos/
lance livre celso diniz gerente executivo da liga de basquete feminino lbf;Sport/Uninassau/Inst. Todos;2;152;1;https://lbf.com.br/noticias/lance-livre-celso-diniz-gerente-executivo-da-liga-de-basquete-feminino-lbf/
selecao brasileira adulta feminina encara a franca em torneio preparatorio;Sport/Uninassau/Inst. Todos;2;289;1;https://lbf.com.br/noticias/selecao-brasileira-adulta-feminina-encara-a-franca-em-torneio-preparatorio/
sodie doceslsb rj conhece datas da sul americana;Sport/Uninassau/Inst. Todos;1;311;1;https://lbf.com.br/noticias/sodie-doceslsb-rj-conhece-datas-da-sul-americana/
obrigado ruth;Cerrado BRB;1;577;3;https://lbf.com.br/noticias/obrigado-ruth/
karla costa disputara mundial master em orlando pela selecao brasileira;Sport/Uninassau/Inst. Todos;1;321;1;https://lbf.com.br/noticias/karla-costa-disputara-mundial-master-em-orlando-pela-selecao-brasileira/
sesi araraquara leva duelo regional;SESI Araraquara Basquete;53;711;5;https://lbf.com.br/noticias/sesi-araraquara-leva-duelo-regional/
campeonato paulista feminino sera aberto com quadrangular em americana;Santo André;12;522;2;https://lbf.com.br/noticias/campeonato-paulista-feminino-sera-aberto-com-quadrangular-em-americana/
premio destaque;Santo André;6;553;2;https://lbf.com.br/noticias/premio-destaque/
sampaio basquete x kto blumenau datas da semifinal;Sport/Uninassau/Inst. Todos;5;395;6;https://lbf.com.br/noticias/sampaio-basquete-x-kto-blumenau-datas-da-semifinal/
cacula presidente venceslau esta animado com estreia em casa na liga de basquete feminino lbf 201415;Pontz São José Basketball;8;512;3;https://lbf.com.br/noticias/cacula-presidente-venceslau-esta-animado-com-estreia-em-casa-na-liga-de-basquete-feminino-lbf-201415/
erika de souza e damiris do amaral se apresentam ao tecnico luiz zanon;Pontz São José Basketball;8;388;2;https://lbf.com.br/noticias/erika-de-souza-e-damiris-do-amaral-se-apresentam-ao-tecnico-luiz-zanon/
timao vence mais uma;Unimed Campinas Basquete;9;337;3;https://lbf.com.br/noticias/timao-vence-mais-uma/
e ouro;SESI Araraquara Basquete;4;372;4;https://lbf.com.br/noticias/e-ouro/
o caminho para o heptadeca;Unimed Campinas Basquete;4;400;4;https://lbf.com.br/noticias/o-caminho-para-o-heptadeca/
marcio cattaruzzi e reeleito presidente da liga de basquete feminino lbf;Sport/Uninassau/Inst. Todos;3;182;1;https://lbf.com.br/noticias/marcio-cattaruzzi-e-reeleito-presidente-da-liga-de-basquete-feminino-lbf/
fechou com honra;Santo André;10;511;2;https://lbf.com.br/noticias/fechou-com-honra/
atuacao de galo;Unimed Campinas Basquete;10;816;2;https://lbf.com.br/noticias/atuacao-de-galo/
pra colar na lideranca;Santo André;18;704;4;https://lbf.com.br/noticias/pra-colar-na-lideranca/
a bola vai subir;Santo André;26;806;1;https://lbf.com.br/noticias/a-bola-vai-subir/
que venha a colombia;Sport/Uninassau/Inst. Todos;1;492;1;https://lbf.com.br/noticias/que-venha-a-colombia/
segue_vivo;Sampaio Basquete;11;563;2;https://lbf.com.br/noticias/segue_vivo/
chegou a hora 3;Sport/Uninassau/Inst. Todos;10;672;1;https://lbf.com.br/noticias/chegou-a-hora-3/
recra e divino vencem pela serie a 2 do campeonato paulista feminino;Sport/Uninassau/Inst. Todos;1;412;1;https://lbf.com.br/noticias/recra-e-divino-vencem-pela-serie-a-2-do-campeonato-paulista-feminino/
sao josecolinas shopping quebra invencibilidade do uninassauamerica na lbf 201415;Pontz São José Basketball;16;807;3;https://lbf.com.br/noticias/sao-josecolinas-shopping-quebra-invencibilidade-do-uninassauamerica-na-lbf-201415/
tres seguidas;Sampaio Basquete;15;437;1;https://lbf.com.br/noticias/tres-seguidas/
noticias;Santo André;8;187;8;https://lbf.com.br/noticias/
ficou mais dificil;Sport/Uninassau/Inst. Todos;2;525;1;https://lbf.com.br/noticias/ficou-mais-dificil/
ela esta de volta 1;Santo André;2;465;1;https://lbf.com.br/noticias/ela-esta-de-volta-1/
quatro jogos movimentam a liga de basquete feminino lbf 201415 nesta segunda;Santo André;14;1098;3;https://lbf.com.br/noticias/quatro-jogos-movimentam-a-liga-de-basquete-feminino-lbf-201415-nesta-segunda/
triunfo na bagagem;SESI Araraquara Basquete;11;579;2;https://lbf.com.br/noticias/triunfo-na-bagagem/
renovada selecao brasileira feminina se prepara em sao jose dos campos para o sul americano;Pontz São José Basketball;8;736;3;https://lbf.com.br/noticias/renovada-selecao-brasileira-feminina-se-prepara-em-sao-jose-dos-campos-para-o-sul-americano/
sport recife viajou confiante para disputar a fase final da liga sul americana de clubes;Sport/Uninassau/Inst. Todos;3;363;1;https://lbf.com.br/noticias/sport-recife-viajou-confiante-para-disputar-a-fase-final-da-liga-sul-americana-de-clubes/
hoje tem 19h30 unisociesc blumenau x sampaio basquete;Sampaio Basquete;9;556;5;https://lbf.com.br/noticias/hoje-tem-19h30-unisociesc-blumenau-x-sampaio-basquete/
catanduva anuncia argentina ornela bacchini;Sport/Uninassau/Inst. Todos;3;346;1;https://lbf.com.br/noticias/catanduva-anuncia-argentina-ornela-bacchini/
com a presenca de clarissa dos santos festival fecha a temporada das escolinhas de iniciacao da adcf unimed;Sport/Uninassau/Inst. Todos;4;331;1;https://lbf.com.br/noticias/com-a-presenca-de-clarissa-dos-santos-festival-fecha-a-temporada-das-escolinhas-de-iniciacao-da-adcf-unimed/
kelly santos e sabatinada em evento no centro civico;Sport/Uninassau/Inst. Todos;5;549;1;https://lbf.com.br/noticias/kelly-santos-e-sabatinada-em-evento-no-centro-civico/
em 2021 lbf e na cultura;Sport/Uninassau/Inst. Todos;3;488;1;https://lbf.com.br/noticias/em-2021-lbf-e-na-cultura/
brasucas em destaque;Sampaio Basquete;6;995;4;https://lbf.com.br/noticias/brasucas-em-destaque/
ficou pra domingo;Sport/Uninassau/Inst. Todos;1;403;1;https://lbf.com.br/noticias/ficou-pra-domingo/
brasil perde do canada e disputa o bronze no pan americano de toronto diante de cuba;Sport/Uninassau/Inst. Todos;3;466;1;https://lbf.com.br/noticias/brasil-perde-do-canada-e-disputa-o-bronze-no-pan-americano-de-toronto-diante-de-cuba/
sao jose e santo andre jogam pela ultima vaga na semifinal da liga de basquete feminino lbf 201415;Pontz São José Basketball;20;426;3;https://lbf.com.br/noticias/sao-jose-e-santo-andre-jogam-pela-ultima-vaga-na-semifinal-da-liga-de-basquete-feminino-lbf-201415/
sport recife se reabilita na lbf 201415 derrotando o presidente venceslau jogando em recife;Sport/Uninassau/Inst. Todos;10;571;1;https://lbf.com.br/noticias/sport-recife-se-reabilita-na-lbf-201415-derrotando-o-presidente-venceslau-jogando-em-recife/
com excelente desempenho de tiffany hayes america derrota o americana e segue como unico invicto da lbf 201415;Sport/Uninassau/Inst. Todos;6;568;2;https://lbf.com.br/noticias/com-excelente-desempenho-de-tiffany-hayes-america-derrota-o-americana-e-segue-como-unico-invicto-da-lbf-201415/
avassalador 4;Santo André;12;719;4;https://lbf.com.br/noticias/avassalador-4/
ituano finaliza visitas escolares de 2019;Sport/Uninassau/Inst. Todos;6;423;1;https://lbf.com.br/noticias/ituano-finaliza-visitas-escolares-de-2019/
jogadores do basquetebol de sao jose dos campos vao interagir com atletas iniciantes;Sport/Uninassau/Inst. Todos;13;401;2;https://lbf.com.br/noticias/jogadores-do-basquetebol-de-sao-jose-dos-campos-vao-interagir-com-atletas-iniciantes/
que trio foi esse;Santo André;10;513;3;https://lbf.com.br/noticias/que-trio-foi-esse/
sesi araraquara nas finais;SESI Araraquara Basquete;13;538;4;https://lbf.com.br/noticias/sesi-araraquara-nas-finais/
campanha perfeita;Unimed Campinas Basquete;34;1041;4;https://lbf.com.br/noticias/campanha-perfeita/
representantes da liga de basquete feminino lbf no curso da entb em sao paulo;Sport/Uninassau/Inst. Todos;4;495;2;https://lbf.com.br/noticias/representantes-da-liga-de-basquete-feminino-lbf-no-curso-da-entb-em-sao-paulo/
brasiliavizinhanca na final do campeonato brasiliense adulto feminino;Sport/Uninassau/Inst. Todos;2;247;1;https://lbf.com.br/noticias/brasiliavizinhanca-na-final-do-campeonato-brasiliense-adulto-feminino/
depois jogos pelo campeonato paulista feminino da serie a 2 nesta quarta;Sport/Uninassau/Inst. Todos;1;254;1;https://lbf.com.br/noticias/depois-jogos-pelo-campeonato-paulista-feminino-da-serie-a-2-nesta-quarta/
partiu 2o turnoo;Sport/Uninassau/Inst. Todos;10;822;4;https://lbf.com.br/noticias/partiu-2o-turnoo/
depois de um periodo de folga uninassauamerica ja retornou aos treinamentos;Sport/Uninassau/Inst. Todos;4;213;1;https://lbf.com.br/noticias/depois-de-um-periodo-de-folga-uninassauamerica-ja-retornou-aos-treinamentos/
brasil vence mali e disputa o nono lugar no campeonato mundial sub 19 feminino;Sport/Uninassau/Inst. Todos;3;462;1;https://lbf.com.br/noticias/brasil-vence-mali-e-disputa-o-nono-lugar-no-campeonato-mundial-sub-19-feminino/
